n = 255 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2452256 | dataRider[i].timeRAC = 2511608
n = 260 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2452513 | dataRider[i].timeRAC = 2514340
n = 265 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2456524 | dataRider[i].timeRAC = 2516932
n = 270 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2458889 | dataRider[i].timeRAC = 2521085
n = 275 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460314 | dataRider[i].timeRAC = 2525109
n = 280 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460564 | dataRider[i].timeRAC = 2527972
n = 285 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2460882 | dataRider[i].timeRAC = 2531394
n = 290 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2463171 | dataRider[i].timeRAC = 2543315
n = 295 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2464128 | dataRider[i].timeRAC = 2553658
n = 300 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2466489 | dataRider[i].timeRAC = 2557661
n = 305 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2467308 | dataRider[i].timeRAC = 2566342
n = 310 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2469091 | dataRider[i].timeRAC = 2572313
n = 315 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2471376 | dataRider[i].timeRAC = 2672603
n = 320 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2472097 | dataRider[i].timeRAC = 2679613
n = 325 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2474649 | dataRider[i].timeRAC = 2694609
n = 330 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2476863 | dataRider[i].timeRAC = 2716624
n = 335 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2477204 | dataRider[i].timeRAC = 2716629
n = 340 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2477566 | dataRider[i].timeRAC = 2716634
n = 345 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2477952 | dataRider[i].timeRAC = 2716639
n = 350 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2478840 | dataRider[i].timeRAC = 2716644
n = 355 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2480230 | dataRider[i].timeRAC = 2716649
n = 360 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2480599 | dataRider[i].timeRAC = 2716654
n = 365 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2481488 | dataRider[i].timeRAC = 2716659
n = 370 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2483249 | dataRider[i].timeRAC = 2716664
n = 375 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2485788 | dataRider[i].timeRAC = 2716669
n = 380 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2486698 | dataRider[i].timeRAC = 2716674
